ADQ_ID,ROI,FixTime,EnterCount,RegressionCount
n18q4,INST_n2q4_2b,1.101,1,0
n18q4,KW_n2q4_1,21.022999999999993,5,4
n18q4,INST_n2q4_1,0.123,1,0
n18q4,BG_n2q4,0.855,5,4
n18q4,INST_n2q4_2a,0.736,1,0
n18q5,BG_n2q5,1.9549999999999998,5,4
n18q5,INST_n2q5_1a,1.1,2,1
n18q5,INST_n2q5_1c,1.4649999999999999,1,0
n18q5,INST_n2q5_1b,1.468,4,3
n19q1,KW_n2q1_4,1.589,1,0
n19q1,INST_n2q1_1,1.2239999999999998,1,0
n19q1,KW_n2q1_1,2.4569999999999994,1,0
n19q1,BG_n2q1,0.244,1,0
n19q1,KW_n2q1_2,2.324,1,0
n19q1,KW_n2q1_3,1.7119999999999997,1,0
n19q2,KW_n2q2_3,1.221,2,1
n19q2,KW_n2q2_2,1.101,1,0
n19q2,INST_n2q2_1,1.2229999999999999,1,0
n19q2,BG_n2q2,0.368,3,2
n19q2,KW_n2q2_4,1.345,1,0
n19q2,KW_n2q2_1,1.8319999999999994,1,0
n19q3,KW_n2q3_1,1.343,2,1
n19q3,INST_n2q3_2,0.978,2,1
n19q3,INST_n2q3_1,1.222,1,0
n19q3,BG_n2q3,1.1,4,3
n19q3,KW_n2q3_2,0.978,2,1
n19q3,KW_n2q3_3,1.8340000000000003,3,2
n19q4,INST_n2q4_2b,1.099,3,2
n19q4,KW_n2q4_1,23.465999999999998,2,1
n19q4,INST_n2q4_1,0.0,0,0
n19q4,BG_n2q4,0.367,2,1
n19q4,INST_n2q4_2a,1.3469999999999998,1,0
n19q5,BG_n2q5,0.488,2,1
n19q5,INST_n2q5_1a,1.9549999999999996,2,1
n19q5,INST_n2q5_1c,1.8329999999999997,1,0
n19q5,INST_n2q5_1b,1.346,2,1
n2q1,KW_n2q1_4,4.768,1,0
n2q1,INST_n2q1_1,2.081,1,0
n2q1,KW_n2q1_1,3.5459999999999994,2,1
n2q1,BG_n2q1,0.0,0,0
n2q1,KW_n2q1_2,1.2229999999999999,2,1
n2q1,KW_n2q1_3,1.223,1,0
n2q2,KW_n2q2_3,2.4439999999999995,3,2
n2q2,KW_n2q2_2,1.5890000000000002,1,0
n2q2,INST_n2q2_1,1.9559999999999995,1,0
n2q2,BG_n2q2,0.489,3,2
n2q2,KW_n2q2_4,2.4449999999999994,4,3
n2q2,KW_n2q2_1,4.155999999999999,2,1
n2q3,KW_n2q3_1,2.3209999999999997,4,3
n2q3,INST_n2q3_2,5.745999999999999,4,3
n2q3,INST_n2q3_1,0.246,1,0
n2q3,BG_n2q3,2.8089999999999993,7,6
n2q3,KW_n2q3_2,1.4680000000000002,2,1
n2q3,KW_n2q3_3,2.0799999999999996,3,2
n2q4,INST_n2q4_2b,1.4659999999999997,3,2
n2q4,KW_n2q4_1,22.613999999999994,3,2
n2q4,INST_n2q4_1,0.245,1,0
n2q4,BG_n2q4,1.343,7,6
n2q4,INST_n2q4_2a,3.055999999999999,2,1
n2q5,BG_n2q5,1.3469999999999998,4,3
n2q5,INST_n2q5_1a,0.245,1,0
n2q5,INST_n2q5_1c,3.788999999999999,2,1
n2q5,INST_n2q5_1b,12.835999999999988,4,3
n20q1,KW_n2q1_4,0.978,2,1
n20q1,INST_n2q1_1,1.101,1,0
n20q1,KW_n2q1_1,2.4459999999999997,4,3
n20q1,BG_n2q1,0.368,2,1
n20q1,KW_n2q1_2,1.7129999999999999,3,2
n20q1,KW_n2q1_3,0.977,2,1
n20q2,KW_n2q2_3,0.856,1,0
n20q2,KW_n2q2_2,1.345,1,0
n20q2,INST_n2q2_1,1.1,1,0
n20q2,BG_n2q2,0.244,1,0
n20q2,KW_n2q2_4,1.222,1,0
n20q2,KW_n2q2_1,2.0779999999999994,1,0
n20q3,KW_n2q3_1,1.1,3,2
n20q3,INST_n2q3_2,1.9569999999999996,1,0
n20q3,INST_n2q3_1,0.855,1,0
n20q3,BG_n2q3,1.3449999999999998,6,5
n20q3,KW_n2q3_2,1.099,2,1
n20q3,KW_n2q3_3,1.9569999999999999,5,4
n20q4,INST_n2q4_2b,0.732,1,0
n20q4,KW_n2q4_1,21.266999999999992,2,1
n20q4,INST_n2q4_1,0.856,1,0
n20q4,BG_n2q4,0.0,0,0
n20q4,INST_n2q4_2a,1.588,2,1
n20q5,BG_n2q5,3.0539999999999985,6,5
n20q5,INST_n2q5_1a,0.734,3,2
n20q5,INST_n2q5_1c,1.345,1,0
n20q5,INST_n2q5_1b,2.689000000000001,3,2
n3q1,KW_n2q1_4,7.457999999999999,2,1
n3q1,INST_n2q1_1,0.735,1,0
n3q1,KW_n2q1_1,4.033999999999999,2,1
n3q1,BG_n2q1,0.611,3,2
n3q1,KW_n2q1_2,2.08,3,2
n3q1,KW_n2q1_3,2.2009999999999996,2,1
n3q2,KW_n2q2_3,2.4449999999999994,1,0
n3q2,KW_n2q2_2,2.810999999999999,1,0
n3q2,INST_n2q2_1,0.733,1,0
n3q2,BG_n2q2,0.122,1,0
n3q2,KW_n2q2_4,2.688999999999999,1,0
n3q2,KW_n2q2_1,2.810999999999999,1,0
n3q3,KW_n2q3_1,0.733,2,1
n3q3,INST_n2q3_2,3.422999999999999,1,0
n3q3,INST_n2q3_1,0.0,0,0
n3q3,BG_n2q3,4.033999999999999,5,4
n3q3,KW_n2q3_2,1.8339999999999999,3,2
n3q3,KW_n2q3_3,1.4649999999999999,2,1
n3q4,INST_n2q4_2b,3.666999999999999,1,0
n3q4,KW_n2q4_1,20.04599999999999,2,1
n3q4,INST_n2q4_1,0.0,0,0
n3q4,BG_n2q4,0.856,4,3
n3q4,INST_n2q4_2a,2.5669999999999993,2,1
