ADQ_ID,ROI,FixTime,EnterCount,RegressionCount,Group
ad10q3,KW_n2q3_3,1.7100000000000015,5,4,ad
ad10q4,INST_n2q4_2b,5.376999999999998,9,8,ad
ad10q4,KW_n2q4_1,8.433999999999996,8,7,ad
ad10q4,INST_n2q4_1,2.198,6,5,ad
ad10q4,BG_n2q4,8.441000000000003,24,23,ad
ad10q4,INST_n2q4_2a,8.552999999999994,12,11,ad
ad10q5,BG_n2q5,8.309999999999999,13,12,ad
ad10q5,INST_n2q5_1a,3.1800000000000006,3,2,ad
ad10q5,INST_n2q5_1c,3.0569999999999995,5,4,ad
ad10q5,INST_n2q5_1b,5.989999999999999,9,8,ad
ad11q1,KW_n2q1_4,4.522999999999998,8,7,ad
ad11q1,INST_n2q1_1,4.400999999999999,7,6,ad
ad11q1,KW_n2q1_1,10.263999999999996,19,18,ad
ad11q1,BG_n2q1,11.743999999999993,32,31,ad
ad11q1,KW_n2q1_2,5.1329999999999965,9,8,ad
ad11q1,KW_n2q1_3,4.767,12,11,ad
ad11q2,KW_n2q2_3,3.792,10,9,ad
ad11q2,KW_n2q2_2,4.519999999999998,9,8,ad
ad11q2,INST_n2q2_1,14.790999999999984,14,13,ad
ad11q2,BG_n2q2,8.306999999999999,26,25,ad
ad11q2,KW_n2q2_4,2.3199999999999994,7,6,ad
ad11q2,KW_n2q2_1,11.737999999999996,21,20,ad
ad11q3,KW_n2q3_1,3.909,5,4,ad
ad11q3,INST_n2q3_2,5.620999999999999,6,5,ad
ad11q3,INST_n2q3_1,4.643,6,5,ad
ad11q3,BG_n2q3,3.6679999999999993,15,14,ad
ad11q3,KW_n2q3_2,3.5459999999999976,8,7,ad
ad11q3,KW_n2q3_3,3.180000000000001,7,6,ad
ad11q4,INST_n2q4_2b,9.531999999999998,16,15,ad
ad11q4,KW_n2q4_1,25.675,27,26,ad
ad11q4,INST_n2q4_1,9.781999999999996,20,19,ad
ad11q4,BG_n2q4,10.260000000000002,33,32,ad
ad11q4,INST_n2q4_2a,21.758999999999972,24,23,ad
ad11q5,BG_n2q5,12.467999999999993,17,16,ad
ad11q5,INST_n2q5_1a,2.321999999999999,2,1,ad
ad11q5,INST_n2q5_1c,1.835,8,7,ad
ad11q5,INST_n2q5_1b,5.376999999999999,9,8,ad
ad12q1,KW_n2q1_4,1.833,4,3,ad
ad12q1,INST_n2q1_1,3.917999999999995,7,6,ad
ad12q1,KW_n2q1_1,15.029999999999992,27,26,ad
ad12q1,BG_n2q1,8.561999999999996,26,25,ad
ad12q1,KW_n2q1_2,6.236999999999999,14,13,ad
ad12q1,KW_n2q1_3,4.403,11,10,ad
ad12q2,KW_n2q2_3,2.077,6,5,ad
ad12q2,KW_n2q2_2,2.8120000000000003,10,9,ad
ad12q2,INST_n2q2_1,4.521999999999999,5,4,ad
ad12q2,BG_n2q2,5.254,20,19,ad
ad12q2,KW_n2q2_4,3.057999999999998,7,6,ad
ad12q2,KW_n2q2_1,7.3359999999999985,12,11,ad
